,eigVal_lossDiff_applied,eigVec_lossDiff_applied,eigVal_lossless,eigVec_lossless,coupling_coeff.,loss_diff,Ecm,XC,Ecm-XC
33,[1.37257075+0.01148599j 1.37117269+0.00031711j],"[[ 0.99018625+0.j        -0.01668992+0.1387539j]
 [ 0.01668992-0.1387539j  0.99018625+0.j       ]]",[1.37362497+2.77900243e-05j 1.37011847+6.23099757e-05j],"[[ 0.83160367+0.j         -0.55518631-0.01426561j]
 [ 0.55518631+0.01426561j  0.83160367+0.j        ]]",0.00162,-0.011712998743143813,1.3725434410510462,(1.3712+9.01e-05j),(0.0013434410510462236-9.01e-05j)
34,[1.37256949+0.01144141j 1.37117251+0.00031798j],"[[ 0.99011098+0.j         -0.0168031 +0.13927633j]
 [ 0.0168031 -0.13927633j  0.99011098+0.j        ]]",[1.37362397+2.78058885e-05j 1.37011803+6.22941115e-05j],"[[ 0.8314978 +0.j         -0.55534469-0.01427194j]
 [ 0.55534469+0.01427194j  0.8314978 +0.j        ]]",0.00162,-0.011669286698996657,1.372541994015542,(1.3712+9.01e-05j),(0.0013419940155421362-9.01e-05j)
35,[1.37256818+0.01139681j 1.37117232+0.00031886j],"[[ 0.99003484+0.j         -0.01691704+0.13980284j]
 [ 0.01691704-0.13980284j  0.99003484+0.j        ]]",[1.37362294+2.78222382e-05j 1.37011757+6.22777618e-05j],"[[ 0.83138867+0.j         -0.55550788-0.01427845j]
 [ 0.55550788+0.01427845j  0.83138867+0.j        ]]",0.00162,-0.011625574654849499,1.372540503412213,(1.3712+9.01e-05j),(0.0013405034122129234-9.01e-05j)
36,[1.37256684+0.01135222j 1.37117213+0.00031975j],"[[ 0.98995779+0.j         -0.01703175+0.14033348j]
 [ 0.01703175-0.14033348j  0.98995779+0.j        ]]",[1.37362188+2.78390723e-05j 1.37011709+6.22609277e-05j],"[[ 0.8312763 +0.j         -0.55567585-0.01428516j]
 [ 0.55567585+0.01428516j  0.8312763 +0.j        ]]",0.00162,-0.011581862610702341,1.3725389694045542,(1.3712+9.01e-05j),(0.0013389694045542466-9.01e-05j)
37,[1.37256545+0.01130761j 1.37117194+0.00032064j],"[[ 0.98987984+0.j         -0.01714723+0.14086829j]
 [ 0.01714723-0.14086829j  0.98987984+0.j        ]]",[1.37362079+2.78563898e-05j 1.37011661+6.22436102e-05j],"[[ 0.83116068+0.j         -0.55584859-0.01429206j]
 [ 0.55584859+0.01429206j  0.83116068+0.j        ]]",0.00162,-0.011538150566555183,1.3725373921560693,(1.3712+9.01e-05j),(0.001337392156069317-9.01e-05j)
38,[1.37256403+0.011263j   1.37117174+0.00032154j],"[[ 0.98980096+0.j         -0.01726351+0.14140733j]
 [ 0.01726351-0.14140733j  0.98980096+0.j        ]]",[1.37361967+2.78741896e-05j 1.3701161 +6.22258104e-05j],"[[ 0.83104183+0.j         -0.55602609-0.01429915j]
 [ 0.55602609+0.01429915j  0.83104183+0.j        ]]",0.00162,-0.011494438522408027,1.3725357718302666,(1.3712+9.01e-05j),(0.0013357718302666743-9.01e-05j)
39,[1.37256256+0.01121838j 1.37117155+0.00032245j],"[[ 0.98972114+0.j         -0.01738058+0.14195064j]
 [ 0.01738058-0.14195064j  0.98972114+0.j        ]]",[1.37361852+2.78924705e-05j 1.37011559+6.22075295e-05j],"[[ 0.83091975+0.j         -0.55620832-0.01430642j]
 [ 0.55620832+0.01430642j  0.83091975+0.j        ]]",0.00162,-0.01145072647826087,1.3725341085906628,(1.3712+9.01e-05j),(0.0013341085906628525-9.01e-05j)
40,[1.37256105+0.01117375j 1.37117136+0.00032336j],"[[ 0.98964036+0.j         -0.01749846+0.14249828j]
 [ 0.01749846-0.14249828j  0.98964036+0.j        ]]",[1.37361734+2.79112317e-05j 1.37011506+6.21887683e-05j],"[[ 0.83079444+0.j         -0.55639528-0.01431389j]
 [ 0.55639528+0.01431389j  0.83079444+0.j        ]]",0.00162,-0.011407014434113712,1.3725324026007801,(1.3712+9.01e-05j),(0.0013324026007801582-9.01e-05j)
41,[1.37255949+0.01112912j 1.37117116+0.00032429j],"[[ 0.98955861+0.j        -0.01761717+0.1430503j]
 [ 0.01761717-0.1430503j  0.98955861+0.j       ]]",[1.37361613+2.7930472e-05j 1.37011452+6.2169528e-05j],"[[ 0.83066591+0.j         -0.55658695-0.01432154j]
 [ 0.55658695+0.01432154j  0.83066591+0.j        ]]",0.00162,-0.011363302389966556,1.372530654024148,(1.3712+9.01e-05j),(0.0013306540241480036-9.01e-05j)
42,[1.3725579 +0.01108447j 1.37117096+0.00032522j],"[[ 0.98947588+0.j         -0.0177367 +0.14360675j]
 [ 0.0177367 -0.14360675j  0.98947588+0.j        ]]",[1.3736149 +2.79501905e-05j 1.37011397+6.21498095e-05j],"[[ 0.83053417+0.j         -0.55678332-0.01432938j]
 [ 0.55678332+0.01432938j  0.83053417+0.j        ]]",0.00162,-0.011319590345819398,1.3725288630243009,(1.3712+9.01e-05j),(0.001328863024300908-9.01e-05j)
