,eigVal_lossDiff_applied,eigVec_lossDiff_applied,eigVal_lossless,eigVec_lossless,Coupling coeff.,Ecm,XC,Ecm-XC
34,[1.371-0.00259592j 1.371-0.00084008j],"[[8.77286360e-01+0.j         5.12610787e-15-0.47996733j]
 [0.00000000e+00+0.47996733j 8.77286360e-01+0.j        ]]",[1.372371-9.e-05j 1.369629-9.e-05j],"[[ 0.70710678+0.j  0.70710678+0.j]
 [ 0.70710678-0.j -0.70710678+0.j]]",0.001371,(1.371-9e-05j),(1.371-9e-05j),0j
35,[1.371-0.00259357j 1.371-0.00084243j],"[[8.76875458e-01+0.j         1.14908083e-14-0.48071762j]
 [0.00000000e+00+0.48071762j 8.76875458e-01+0.j        ]]",[1.3723725-9.e-05j 1.3696275-9.e-05j],"[[ 0.70710678-0.00000000e+00j  0.70710678+0.00000000e+00j]
 [ 0.70710678+0.00000000e+00j -0.70710678+6.98221046e-18j]]",0.0013725,(1.371-9e-05j),(1.371-9e-05j),0j
36,[1.371-0.00259122j 1.371-0.00084478j],"[[ 8.76462807e-01+0.j         -4.10782519e-15-0.48146957j]
 [ 0.00000000e+00+0.48146957j  8.76462807e-01+0.j        ]]",[1.372374-9.e-05j 1.369626-9.e-05j],"[[ 0.70710678-0.j -0.70710678+0.j]
 [ 0.70710678+0.j  0.70710678+0.j]]",0.001374,(1.371-9e-05j),(1.371-9e-05j),0j
37,[1.371-0.00258885j 1.371-0.00084715j],"[[ 8.76048391e-01+0.j        -8.18789481e-15-0.4822232j]
 [-9.97726374e-14+0.4822232j  8.76048391e-01+0.j       ]]",[1.3723755-9.e-05j 1.3696245-9.e-05j],"[[ 0.70710678-0.j  0.70710678+0.j]
 [ 0.70710678+0.j -0.70710678+0.j]]",0.0013755,(1.371-9e-05j),(1.371-9e-05j),0j
38,[1.371-0.00258648j 1.371-0.00084952j],"[[8.75632196e-01+0.j         1.24372734e-13-0.48297853j]
 [0.00000000e+00+0.48297853j 8.75632196e-01+0.j        ]]",[1.372377-9.e-05j 1.369623-9.e-05j],"[[ 0.70710678-0.j  0.70710678+0.j]
 [ 0.70710678+0.j -0.70710678+0.j]]",0.001377,(1.371-9e-05j),(1.371-9e-05j),0j
39,[1.371-0.0025841j 1.371-0.0008519j],"[[ 8.75214206e-01+0.j         -7.85482790e-15-0.48373556j]
 [ 0.00000000e+00+0.48373556j  8.75214206e-01+0.j        ]]",[1.3723785-9.e-05j 1.3696215-9.e-05j],"[[ 0.70710678-0.j  0.70710678+0.j]
 [ 0.70710678+0.j -0.70710678+0.j]]",0.0013785,(1.371-9e-05j),(1.371-9e-05j),0j
40,[1.371-0.0025817j 1.371-0.0008543j],"[[ 8.74794404e-01+0.j         -1.07372444e-13-0.48449432j]
 [ 0.00000000e+00+0.48449432j  8.74794404e-01+0.j        ]]",[1.37238-9.e-05j 1.36962-9.e-05j],"[[ 0.70710678-0.00000000e+00j  0.70710678+0.00000000e+00j]
 [ 0.70710678+0.00000000e+00j -0.70710678-6.94426366e-18j]]",0.00138,(1.371-9e-05j),(1.371-9e-05j),0j
41,[1.371-0.0025793j 1.371-0.0008567j],"[[8.74372776e-01+0.j         4.01206846e-14-0.48525483j]
 [0.00000000e+00+0.48525483j 8.74372776e-01+0.j        ]]",[1.3723815-9.e-05j 1.3696185-9.e-05j],"[[ 0.70710678-0.00000000e+00j -0.70710678+6.93672375e-18j]
 [ 0.70710678+0.00000000e+00j  0.70710678+0.00000000e+00j]]",0.0013815,(1.371-9e-05j),(1.371-9e-05j),0j
42,[1.371-0.00257689j 1.371-0.00085911j],"[[ 8.73949304e-01+0.j          1.12826415e-13-0.48601709j]
 [-8.16920109e-14+0.48601709j  8.73949304e-01+0.j        ]]",[1.372383-9.e-05j 1.369617-9.e-05j],"[[ 0.70710678-0.00000000e+00j  0.70710678+0.00000000e+00j]
 [ 0.70710678+0.00000000e+00j -0.70710678+6.92920018e-18j]]",0.001383,(1.371-9e-05j),(1.371-9e-05j),0j
43,[1.371-0.00257447j 1.371-0.00086153j],"[[ 8.73523972e-01+0.j         -5.88001869e-14-0.48678113j]
 [ 0.00000000e+00+0.48678113j  8.73523972e-01+0.j        ]]",[1.3723845-9.e-05j 1.3696155-9.e-05j],"[[ 0.70710678-0.0000000e+00j -0.70710678+6.9388939e-18j]
 [ 0.70710678+0.0000000e+00j  0.70710678+0.0000000e+00j]]",0.0013844999999999999,(1.371-9e-05j),(1.371-9e-05j),0j
44,[1.371-0.00257204j 1.371-0.00086396j],"[[ 8.73096764e-01+0.j          2.15466534e-13-0.48754696j]
 [-6.37221066e-14+0.48754696j  8.73096764e-01+0.j        ]]",[1.372386-9.e-05j 1.369614-9.e-05j],"[[ 0.70710678+0.00000000e+00j  0.70710678+0.00000000e+00j]
 [ 0.70710678-0.00000000e+00j -0.70710678+1.38100252e-17j]]",0.001386,(1.371-9e-05j),(1.371-9e-05j),0j
45,[1.371-0.0025696j 1.371-0.0008664j],"[[ 8.72667661e-01+0.j        -1.02418074e-13-0.4883146j]
 [ 0.00000000e+00+0.4883146j  8.72667661e-01+0.j       ]]",[1.3723875-9.e-05j 1.3696125-9.e-05j],"[[ 0.70710678+0.0000000e+00j  0.70710678+0.0000000e+00j]
 [ 0.70710678-0.0000000e+00j -0.70710678+6.9067271e-18j]]",0.0013875,(1.371-9e-05j),(1.371-9e-05j),0j
46,[1.371-0.00256715j 1.371-0.00086885j],"[[8.72236648e-01+0.j         5.94940763e-14-0.48908407j]
 [0.00000000e+00+0.48908407j 8.72236648e-01+0.j        ]]",[1.372389-9.e-05j 1.369611-9.e-05j],"[[ 0.70710678+0.00000000e+00j -0.70710678-6.92534138e-18j]
 [ 0.70710678-0.00000000e+00j  0.70710678+0.00000000e+00j]]",0.001389,(1.371-9e-05j),(1.371-9e-05j),0j
47,[1.371-0.0025647j 1.371-0.0008713j],"[[ 8.71803706e-01+0.j         -6.63913369e-14-0.48985538j]
 [ 0.00000000e+00+0.48985538j  8.71803706e-01+0.j        ]]",[1.3723905-9.e-05j 1.3696095-9.e-05j],"[[ 0.70710678+0.00000000e+00j -0.70710678+6.87113127e-18j]
 [ 0.70710678-0.00000000e+00j  0.70710678+0.00000000e+00j]]",0.0013905,(1.371-9e-05j),(1.371-9e-05j),0j
