,eigVal_lossDiff_applied,eigVec_lossDiff_applied,eigVal_lossless,eigVec_lossless,coupling_coeff.,loss_diff,Ecm,XC,Ecm-XC
45,[1.3725521 +0.01095646j 1.37117113+0.0003221j ],"[[ 0.98949291+0.j         -0.01785264+0.14347495j]
 [ 0.01785264-0.14347495j  0.98949291+0.j        ]]",[1.37359252+2.78300802e-05j 1.37013072+6.22699198e-05j],"[[ 0.83133633+0.j        -0.55558151-0.0144601j]
 [ 0.55558151+0.0144601j  0.83133633+0.j       ]]",0.0016,-0.011188454213377927,1.3725232371209142,(1.3712+9.01e-05j),(0.0013232371209142002-9.01e-05j)
46,[1.37255034+0.01091181j 1.37117093+0.00032303j],"[[ 0.9894083 +0.j        -0.01797374+0.1440422j]
 [ 0.01797374-0.1440422j  0.9894083 +0.j       ]]",[1.37359116+2.78518543e-05j 1.37013012+6.22481457e-05j],"[[ 0.83119097+0.j         -0.55579873-0.01446888j]
 [ 0.55579873+0.01446888j  0.83119097+0.j        ]]",0.0016,-0.01114474216923077,1.3725212780636817,(1.3712+9.01e-05j),(0.0013212780636817634-9.01e-05j)
47,[1.37254854+0.01086715j 1.37117073+0.00032398j],"[[ 0.98932265+0.j        -0.01809571+0.1446141j]
 [ 0.01809571-0.1446141j  0.98932265+0.j       ]]",[1.37358978+2.78741055e-05j 1.3701295 +6.22258945e-05j],"[[ 0.83104239+0.j         -0.55602062-0.01447785j]
 [ 0.55602062+0.01447785j  0.83104239+0.j        ]]",0.0016,-0.011101030125083611,1.3725192774010009,(1.3712+9.01e-05j),(0.0013192774010009067-9.01e-05j)
48,[1.3725467 +0.01082249j 1.37117053+0.00032493j],"[[ 0.98923594+0.j        -0.01821856+0.1451907j]
 [ 0.01821856-0.1451907j  0.98923594+0.j       ]]",[1.37358837+2.78968328e-05j 1.37012887+6.22031672e-05j],"[[ 0.83089062+0.j         -0.55624717-0.01448701j]
 [ 0.55624717+0.01448701j  0.83089062+0.j        ]]",0.0016,-0.011057318080936455,1.3725172352964425,(1.3712+9.01e-05j),(0.0013172352964425649-9.01e-05j)
49,[1.37254482+0.01077781j 1.37117033+0.00032589j],"[[ 0.98914815+0.j         -0.01834232+0.14577207j]
 [ 0.01834232-0.14577207j  0.98914815+0.j        ]]",[1.37358693+2.79200353e-05j 1.37012822+6.21799647e-05j],"[[ 0.83073563+0.j         -0.55647836-0.01449636j]
 [ 0.55647836+0.01449636j  0.83073563+0.j        ]]",0.0016,-0.011013606036789298,1.3725151519135832,(1.3712+9.01e-05j),(0.0013151519135832235-9.01e-05j)
50,[1.3725429 +0.01073313j 1.37117013+0.00032686j],"[[ 0.98905926+0.j         -0.01846699+0.14635827j]
 [ 0.01846699-0.14635827j  0.98905926+0.j        ]]",[1.37358547+2.79437121e-05j 1.37012756+6.21562879e-05j],"[[ 0.83057746+0.j         -0.55671417-0.01450589j]
 [ 0.55671417+0.01450589j  0.83057746+0.j        ]]",0.0016,-0.01096989399264214,1.372513027416004,(1.3712+9.01e-05j),(0.0013130274160040312-9.01e-05j)
51,[1.37254094+0.01068844j 1.37116992+0.00032784j],"[[ 0.98896926+0.j         -0.01859258+0.14694935j]
 [ 0.01859258-0.14694935j  0.98896926+0.j        ]]",[1.37358397+2.79678624e-05j 1.37012689+6.21321376e-05j],"[[ 0.83041608+0.j        -0.5569546 -0.0145156j]
 [ 0.5569546 +0.0145156j  0.83041608+0.j       ]]",0.0016,-0.010926181948494984,1.372510861967293,(1.3712+9.01e-05j),(0.00131086196729302-9.01e-05j)
52,[1.37253894+0.01064374j 1.37116971+0.00032883j],"[[ 0.98887813+0.j         -0.01871912+0.14754538j]
 [ 0.01871912-0.14754538j  0.98887813+0.j        ]]",[1.37358245+2.79924852e-05j 1.37012621+6.21075148e-05j],"[[ 0.83025152+0.j        -0.55719962-0.0145255j]
 [ 0.55719962+0.0145255j  0.83025152+0.j       ]]",0.0016,-0.010882469904347826,1.3725086557310424,(1.3712+9.01e-05j),(0.0013086557310424407-9.01e-05j)
53,[1.37253691+0.01059904j 1.3711695 +0.00032982j],"[[ 0.98878584+0.j         -0.01884661+0.14814643j]
 [ 0.01884661-0.14814643j  0.98878584+0.j        ]]",[1.3735809 +2.80175798e-05j 1.37012551+6.20824202e-05j],"[[ 0.83008377+0.j         -0.55744923-0.01453559j]
 [ 0.55744923+0.01453559j  0.83008377+0.j        ]]",0.0016,-0.010838757860200669,1.3725064088708496,(1.3712+9.01e-05j),(0.0013064088708496513-9.01e-05j)
54,[1.37253483+0.01055432j 1.37116929+0.00033083j],"[[ 0.98869238+0.j         -0.01897506+0.14875255j]
 [ 0.01897506-0.14875255j  0.98869238+0.j        ]]",[1.37357933+2.80431454e-05j 1.3701248 +6.20568546e-05j],"[[ 0.82991284+0.j         -0.55770341-0.01454585j]
 [ 0.55770341+0.01454585j  0.82991284+0.j        ]]",0.0016,-0.010795045816053513,1.3725041215503178,(1.3712+9.01e-05j),(0.0013041215503177828-9.01e-05j)
55,[1.37253271+0.0105096j  1.37116908+0.00033184j],"[[ 0.98859773+0.j         -0.0191045 +0.14936381j]
 [ 0.0191045 -0.14936381j  0.98859773+0.j        ]]",[1.37357772+2.8069181e-05j 1.37012407+6.2030819e-05j],"[[ 0.82973873+0.j        -0.55796214-0.0145563j]
 [ 0.55796214+0.0145563j  0.82973873+0.j       ]]",0.0016,-0.010751333771906355,1.3725017939330542,(1.3712+9.01e-05j),(0.001301793933054185-9.01e-05j)
