,eigVal,eigVec,Coupling coeff.,Ecm,XC,Ecm-XC
45,[1.371-0.00320141j 1.371-0.00017859j],"[[9.86061436e-01+0.j         7.51395474e-15-0.16638162j]
 [0.00000000e+00+0.16638162j 9.86061436e-01+0.j        ]]",0.000525,(1.371-9e-05j),(1.371-9e-05j),0j
46,[1.371-0.00319967j 1.371-0.00018033j],"[[ 9.85784719e-01+0.j         -7.79801571e-15-0.16801336j]
 [ 0.00000000e+00+0.16801336j  9.85784719e-01+0.j        ]]",0.00053,(1.371-9e-05j),(1.371-9e-05j),0j
47,[1.371-0.0031979j 1.371-0.0001821j],"[[ 9.85504974e-01+0.j         -1.18394877e-16-0.16964653j]
 [ 0.00000000e+00+0.16964653j  9.85504974e-01+0.j        ]]",0.000535,(1.371-9e-05j),(1.371-9e-05j),0j
48,[1.371-0.00319612j 1.371-0.00018388j],"[[ 9.85222190e-01+0.j         -1.50851553e-14-0.17128116j]
 [ 0.00000000e+00+0.17128116j  9.85222190e-01+0.j        ]]",0.00054,(1.371-9e-05j),(1.371-9e-05j),0j
49,[1.371-0.00319432j 1.371-0.00018568j],"[[9.84936353e-01+0.j         7.21644966e-16-0.17291726j]
 [0.00000000e+00+0.17291726j 9.84936353e-01+0.j        ]]",0.000545,(1.371-9e-05j),(1.371-9e-05j),0j
50,[1.371-0.0031925j 1.371-0.0001875j],"[[9.84647450e-01+0.j         4.27505253e-14-0.17455486j]
 [0.00000000e+00+0.17455486j 9.84647450e-01+0.j        ]]",0.0005499999999999999,(1.371-9e-05j),(1.371-9e-05j),0j
51,[1.371-0.00319066j 1.371-0.00018934j],"[[ 9.84355466e-01+0.j         -1.99007477e-14-0.17619397j]
 [ 0.00000000e+00+0.17619397j  9.84355466e-01+0.j        ]]",0.0005549999999999999,(1.371-9e-05j),(1.371-9e-05j),0j
52,[1.371-0.0031888j 1.371-0.0001912j],"[[ 9.84060389e-01+0.j         -1.95191086e-14-0.17783461j]
 [ 0.00000000e+00+0.17783461j  9.84060389e-01+0.j        ]]",0.00056,(1.371-9e-05j),(1.371-9e-05j),0j
53,[1.371-0.00318692j 1.371-0.00019308j],"[[ 9.83762205e-01+0.j         -6.33521013e-15-0.17947681j]
 [ 0.00000000e+00+0.17947681j  9.83762205e-01+0.j        ]]",0.000565,(1.371-9e-05j),(1.371-9e-05j),0j
54,[1.371-0.00318503j 1.371-0.00019497j],"[[9.83460898e-01+0.j         7.48706652e-15-0.18112057j]
 [0.00000000e+00+0.18112057j 9.83460898e-01+0.j        ]]",0.00057,(1.371-9e-05j),(1.371-9e-05j),0j
55,[1.371-0.00318311j 1.371-0.00019689j],"[[9.83156456e-01+0.j         8.68749517e-15-0.18276593j]
 [0.00000000e+00+0.18276593j 9.83156456e-01+0.j        ]]",0.000575,(1.371-9e-05j),(1.371-9e-05j),0j
56,[1.371-0.00318117j 1.371-0.00019883j],"[[9.82848862e-01+0.j         1.24921774e-14-0.18441289j]
 [0.00000000e+00+0.18441289j 9.82848862e-01+0.j        ]]",0.00058,(1.371-9e-05j),(1.371-9e-05j),0j
57,[1.371-0.00317922j 1.371-0.00020078j],"[[9.82538103e-01+0.j         8.46588424e-15-0.18606149j]
 [0.00000000e+00+0.18606149j 9.82538103e-01+0.j        ]]",0.000585,(1.371-9e-05j),(1.371-9e-05j),0j
58,[1.371-0.00317725j 1.371-0.00020275j],"[[9.82224162e-01+0.j         1.73853987e-14-0.18771173j]
 [0.00000000e+00+0.18771173j 9.82224162e-01+0.j        ]]",0.00059,(1.371-9e-05j),(1.371-9e-05j),0j
59,[1.371-0.00317525j 1.371-0.00020475j],"[[9.81907026e-01+0.j         1.08199040e-14-0.18936365j]
 [0.00000000e+00+0.18936365j 9.81907026e-01+0.j        ]]",0.000595,(1.371-9e-05j),(1.371-9e-05j),0j
60,[1.371-0.00317324j 1.371-0.00020676j],"[[9.81586677e-01+0.j         4.57442244e-14-0.19101726j]
 [0.00000000e+00+0.19101726j 9.81586677e-01+0.j        ]]",0.0006000000000000001,(1.371-9e-05j),(1.371-9e-05j),0j
61,[1.371-0.00317121j 1.371-0.00020879j],"[[ 9.81263101e-01+0.j         -9.12117604e-15-0.19267259j]
 [ 0.00000000e+00+0.19267259j  9.81263101e-01+0.j        ]]",0.0006050000000000001,(1.371-9e-05j),(1.371-9e-05j),0j
62,[1.371-0.00316916j 1.371-0.00021084j],"[[9.80936282e-01+0.j         1.65423231e-14-0.19432965j]
 [0.00000000e+00+0.19432965j 9.80936282e-01+0.j        ]]",0.00061,(1.371-9e-05j),(1.371-9e-05j),0j
63,[1.371-0.00316708j 1.371-0.00021292j],"[[9.80606202e-01+0.j         6.57677038e-15-0.19598846j]
 [0.00000000e+00+0.19598846j 9.80606202e-01+0.j        ]]",0.000615,(1.371-9e-05j),(1.371-9e-05j),0j
64,[1.371-0.00316499j 1.371-0.00021501j],"[[ 9.80272846e-01+0.j         -2.45914400e-14-0.19764905j]
 [ 0.00000000e+00+0.19764905j  9.80272846e-01+0.j        ]]",0.00062,(1.371-9e-05j),(1.371-9e-05j),0j
