,eigVal_lossDiff_applied,eigVec_lossDiff_applied,eigVal_lossless,eigVec_lossless,Coupling coeff.,Ecm,XC,Ecm-XC
37,[1.371-0.0030328j 1.371-0.0003472j],"[[9.58970084e-01+0.j         2.79498646e-14-0.28350728j]
 [0.00000000e+00+0.28350728j 9.58970084e-01+0.j        ]]",[1.37187-9.e-05j 1.37013-9.e-05j],"[[ 0.70710678-0.j  0.70710678+0.j]
 [ 0.70710678+0.j -0.70710678+0.j]]",0.0008700000000000001,(1.371-9e-05j),(1.371-9e-05j),0j
38,[1.371-0.00302626j 1.371-0.00035374j],"[[9.57905177e-01+0.j         1.19348975e-15-0.28708478j]
 [0.00000000e+00+0.28708478j 9.57905177e-01+0.j        ]]",[1.37188-9.e-05j 1.37012-9.e-05j],"[[ 0.70710678-0.0000000e+00j  0.70710678+0.0000000e+00j]
 [ 0.70710678+0.0000000e+00j -0.70710678-2.1779736e-17j]]",0.00088,(1.371-9e-05j),(1.371-9e-05j),0j
39,[1.371-0.00301962j 1.371-0.00036038j],"[[9.56821562e-01+0.j         6.97749150e-14-0.29067593j]
 [0.00000000e+00+0.29067593j 9.56821562e-01+0.j        ]]",[1.37189-9.e-05j 1.37011-9.e-05j],"[[ 0.70710678+0.00000000e+00j  0.70710678+0.00000000e+00j]
 [ 0.70710678-0.00000000e+00j -0.70710678-1.07742591e-17j]]",0.0008900000000000001,(1.371-9e-05j),(1.371-9e-05j),0j
40,[1.371-0.00301288j 1.371-0.00036712j],"[[9.55718914e-01+0.j         4.61315014e-14-0.29428109j]
 [0.00000000e+00+0.29428109j 9.55718914e-01+0.j        ]]",[1.3719-9.e-05j 1.3701-9.e-05j],"[[ 0.70710678-0.00000000e+00j  0.70710678+0.00000000e+00j]
 [ 0.70710678+0.00000000e+00j -0.70710678-2.12957419e-17j]]",0.0009,(1.371-9e-05j),(1.371-9e-05j),0j
41,[1.371-0.00300602j 1.371-0.00037398j],"[[9.54596891e-01+0.j         5.37625500e-14-0.29790061j]
 [0.00000000e+00+0.29790061j 9.54596891e-01+0.j        ]]",[1.37191-9.e-05j 1.37009-9.e-05j],"[[ 0.70710678-0.j  0.70710678+0.j]
 [ 0.70710678+0.j -0.70710678+0.j]]",0.00091,(1.371-9e-05j),(1.371-9e-05j),0j
42,[1.371-0.00299905j 1.371-0.00038095j],"[[ 9.53455140e-01+0.j        -3.54091756e-14-0.3015349j]
 [ 0.00000000e+00+0.3015349j  9.53455140e-01+0.j       ]]",[1.37192-9.e-05j 1.37008-9.e-05j],"[[ 0.70710678+0.00000000e+00j -0.70710678-1.04083409e-17j]
 [ 0.70710678-0.00000000e+00j  0.70710678+0.00000000e+00j]]",0.00092,(1.371-9e-05j),(1.371-9e-05j),0j
43,[1.371-0.00299196j 1.371-0.00038804j],"[[9.52293295e-01+0.j         3.44169138e-15-0.30518434j]
 [0.00000000e+00+0.30518434j 9.52293295e-01+0.j        ]]",[1.37193-9.e-05j 1.37007-9.e-05j],"[[ 0.70710678+0.j  0.70710678+0.j]
 [ 0.70710678-0.j -0.70710678+0.j]]",0.00093,(1.371-9e-05j),(1.371-9e-05j),0j
44,[1.371-0.00298476j 1.371-0.00039524j],"[[ 9.51110973e-01+0.j         -4.45910669e-14-0.30884934j]
 [ 0.00000000e+00+0.30884934j  9.51110973e-01+0.j        ]]",[1.37194-9.e-05j 1.37006-9.e-05j],"[[ 0.70710678-0.j -0.70710678+0.j]
 [ 0.70710678+0.j  0.70710678+0.j]]",0.0009400000000000001,(1.371-9e-05j),(1.371-9e-05j),0j
45,[1.371-0.00297744j 1.371-0.00040256j],"[[ 9.49907778e-01+0.j         -7.86315457e-14-0.31253034j]
 [ 0.00000000e+00+0.31253034j  9.49907778e-01+0.j        ]]",[1.37195-9.e-05j 1.37005-9.e-05j],"[[ 0.70710678+0.00000000e+00j -0.70710678-1.00864683e-17j]
 [ 0.70710678-0.00000000e+00j  0.70710678+0.00000000e+00j]]",0.0009500000000000001,(1.371-9e-05j),(1.371-9e-05j),0j
46,[1.371-0.00297j 1.371-0.00041j],"[[9.48683298e-01+0.j         1.37945211e-14-0.31622777j]
 [0.00000000e+00+0.31622777j 9.48683298e-01+0.j        ]]",[1.37196-9.e-05j 1.37004-9.e-05j],"[[ 0.70710678+0.00000000e+00j -0.70710678-9.98237901e-18j]
 [ 0.70710678-0.00000000e+00j  0.70710678+0.00000000e+00j]]",0.00096,(1.371-9e-05j),(1.371-9e-05j),0j
